cliente_id,prob_churn,risco,recomendacao
15806570,1.0,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15596013,1.0,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15727619,0.995,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15570002,0.995,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15662291,0.995,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15648681,0.99,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15573628,0.99,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15793455,0.99,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15652030,0.99,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15750731,0.99,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15608338,0.99,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15606613,0.99,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15607526,0.99,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15647008,0.99,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15701439,0.99,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15748660,0.985,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15599329,0.985,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15592736,0.985,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15710087,0.985,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15697510,0.98,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15783019,0.98,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15640846,0.98,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15597914,0.98,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15641175,0.98,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15808674,0.98,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15677336,0.98,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15649121,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15796910,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15592716,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15713975,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15806688,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15768471,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15635964,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15623210,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15810418,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15603135,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15694376,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15568006,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15813946,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15746708,0.975,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15657809,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15625092,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15659931,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15592816,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15602797,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15792064,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15668889,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15579212,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15711716,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15583456,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15616859,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15766355,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15618936,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15679145,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15788776,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15669664,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15609623,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15600975,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15622897,0.97,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15646720,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15686242,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15605000,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15750778,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15663164,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15704442,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15764866,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15596870,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15792305,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15778368,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15752342,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15692416,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15605826,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15727317,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15635364,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15636089,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15776233,0.965,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15731815,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15649150,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15677310,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15588080,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15744873,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15578787,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15594133,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15799966,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15670374,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15717770,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15614168,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15636977,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15796764,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15721460,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15663161,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15724161,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15641675,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
15800061,0.96,Alto,Priorizar contato consultivo e oferta de reten??o personalizada.
